station_name,type,lat,lng,opening
Cove,LRT,1.399534,103.905792,01-2005
Meridian,LRT,1.397002,103.908884,01-2005
Coral Edge,LRT,1.39392,103.912633,01-2005
Riviera,LRT,1.39454,103.916056,01-2005
Kadaloor,LRT,1.399633,103.916536,01-2005
Oasis,LRT,1.402304,103.912736,06-2007
Damai,LRT,1.405293,103.908606,06-2011
Sam Kee,LRT,1.409808,103.90492,02-2016
Teck Lee,LRT,1.412783,103.906565,01-3024
Punggol Point,LRT,1.416932,103.90668,12-2016
Samudera,LRT,1.415955,103.902185,03-2017
Nibong,LRT,1.411865,103.900321,06-2014
Sumang,LRT,1.408501,103.898605,06-2014
Soo Teck,LRT,1.405436,103.897287,06-2014
