block,street_name,latitude,longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,BEACH RD,1.30367135060881,103.864478660925,706.3593004769476,808.8235294117648,805.1470588235294,1182.4324324324323,1317.9224392459687,1683.8235294117646,2897.0588235294117,2864.864864864865,2518.2637571157497,2435.280869104399,2577.2555643879173,2418.5877053524114,2584.3932167461576,2722.5071598507143,2838.235294117647,2647.0588235294117,2794.1176470588234,3080.8823529411766,3952.248466954349,3904.2571983748453,4328.43137254902,5040.441176470588,5635.294117647059,5761.526232114467,5468.9984101748805,5243.243243243243,5147.058823529412,5172.794117647059,5279.411764705882,4912.162162162162,4787.2305767677035,5006.941176470588,5647.058823529412,6046.502384737679,6470.588235294118
1,BEDOK STH AVE 1,1.32085208689734,103.933721091441,598.8700564971751,605.0847457627119,593.2203389830509,1161.9866767855638,1430.5130740749257,1798.722489248672,2630.1543131798635,3129.9889081320903,2430.3290941287396,2324.606311662029,2431.7733367062992,2406.568850661945,2213.1779174531516,2630.5084745762715,2579.168870593105,2695.168226663294,2706.2146892655364,2932.2033898305085,3832.203389830509,3925.9352952750373,4511.78851505186,4754.237288135593,5610.169491525424,5720.338983050848,5408.192090395481,5423.728813559323,5115.819209039548,4994.029850746269,4872.881355932204,4411.016949152542,4601.6949152542375,4822.210979003289,5694.9152542372885,5974.576271186441,
1,CHAI CHEE RD,1.32796879176303,103.922716018139,1063.1882737145895,1165.8692185007974,1305.921052631579,1577.4728082341776,2042.9387863598392,2705.645660193438,3210.594668489405,3395.0363552305303,2741.728479959829,2641.5643477626104,2800.2961950330373,2436.09022556391,2445.530750972754,2357.2103250181945,2242.481203007519,2259.0140123034857,2181.5523657628924,2127.050580997949,2800.0113921166558,2717.0198222829804,3565.2030008826123,4015.151515151515,,4207.678286625654,4251.87969924812,4312.449813855026,4128.787878787879,3863.636363636364,4090.9090909090914,4179.319658369224,3952.1341231867555,4090.263537631958,4561.464340462808,4789.473684210527,
1,CHANGI VILLAGE RD,1.38854656229024,103.987804503483,,,,,,,,,,,,,1560.6060606060605,1803.030303030303,2272.7272727272725,2273.7373737373737,2304.5454545454545,2298.507462686567,,2910.4477611940297,,3984.848484848485,4785.61736770692,4969.69696969697,4477.611940298508,4242.424242424242,,4155.844155844156,4396.57771747324,3643.713251922207,4545.454545454545,4772.727272727273,,4711.038961038961,
1,DELTA AVE,1.29207525084313,103.828584077626,1512.6050420168067,,1470.5882352941176,2232.8931572629053,3088.2352941176473,3386.5546218487398,4695.378151260504,3977.591036414566,4025.2100840336134,3942.8571428571436,4005.0420168067226,3610.084033613445,3615.126050420168,3523.8095238095243,3500.0,3318.857142857143,3710.084033613445,4789.915966386555,5214.285714285714,4815.126050420168,5687.394957983193,6247.899159663866,6494.957983193277,,6723.058823529412,6120.448179271709,,6193.277310924369,6680.672268907563,7042.016806722689,7338.935574229691,7335.574229691876,7427.63025210084,7803.921568627451,
1,DOVER RD,1.30252574694854,103.783273166817,602.1838331160365,599.7892518440464,761.6147397889372,926.9230769230769,1342.677096914385,1857.9557428872497,2332.165437302424,2792.939936775553,2118.1559536354057,1973.4808570425007,2247.3076923076924,1933.6494555672637,1924.7473769978662,2092.6448893572183,2565.0158061116967,2536.828240252898,2518.6813186813188,3163.076923076923,3888.8888888888887,4147.708113804004,4762.869615707189,5526.870389884089,6080.7692307692305,6615.384615384615,5661.538461538462,5370.21426062522,5428.205128205129,5090.0063224446785,5226.554267650158,4492.307692307692,4615.384615384615,5479.45205479452,5007.692307692308,5726.153846153846,5630.769230769231
1,EAST COAST RD,1.3117151144706771,103.9229897480418,450.0,422.07890908301306,503.968253968254,1075.2393980848153,1000.0,1468.8375350140057,,2976.190476190476,2261.904761904762,1814.8947951273533,1294.1176470588234,1757.0028011204483,1595.2380952380952,1833.3333333333333,,2289.915966386555,,,3889.775910364145,,4893.093283825157,,,,,,,,,,,,,,
1,EVERTON PK,1.27742654288698,103.840001188095,1093.6888018515222,1149.6235117857366,939.1514227642276,1680.75027206965,2211.09849759276,1965.1405156581804,2667.997733115224,2828.7037037037044,2789.855072463768,2521.5996551155745,2541.9082125603863,2644.1727053140094,2632.147201946472,,3152.777777777778,,3013.8888888888887,2981.1711362491033,4126.811594202898,4680.555555555556,4513.633238125463,4818.840579710145,5164.0798017470415,,5895.035913750442,6206.197287839021,5837.5104427736005,6111.111111111111,5738.22463768116,,5527.777777777777,6479.318734793187,6054.519000342349,7291.666666666667,
1,GHIM MOH RD,1.31287975684311,103.786855017635,575.9615384615385,584.6153846153846,707.6923076923077,1153.8461538461538,1457.133472534008,1891.2820512820513,2555.855986119144,3053.846153846154,2254.8987854251013,2085.591208791209,2376.4372469635628,2174.8785425101214,2266.4372469635628,2661.718398560504,2750.769230769231,2771.071034228929,2741.538461538462,3287.4156545209175,4125.384615384615,4480.7692307692305,5404.395604395605,6080.0,6158.974358974359,6805.128205128206,6661.538461538462,5745.723076923077,5495.697165991903,5478.602753036437,4727.397570850202,4682.051282051282,4692.6461538461535,5113.765182186235,5550.931174089069,5836.153846153846,
1,HAIG RD,1.31129091152628,103.897703432652,733.8983050847457,731.638418079096,700.6979062811565,1221.6427640156453,1577.107566190318,1887.0444222886897,2957.418919711454,3231.306081754736,2516.0144566301096,2250.7131383626897,2465.6145200761352,2327.330508474576,2286.4339481555335,2542.5496238557057,2860.0697906281157,2766.3841807909607,2852.080123266564,2980.2966101694915,3694.915254237288,4261.770244821093,4753.048546667689,5509.898874804159,5992.179710867398,6523.554336989033,5523.9226321036895,5223.728813559322,5118.644067796611,5199.152542372882,,5165.254237288135,5194.9152542372885,5338.983050847458,6218.700232635427,6285.003389830508,6455.728813559322
