block,street_name,latitude,longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,REDHILL CL,1.2843223111438176,103.81780711552412,2.0,1.0,,1.0,2.0,2.0,,1.0,4.0,4.0,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,
1,ROCHOR RD,1.3040180876640184,103.85430264904198,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,7.0,,4.0,6.0,,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
1,SELETAR WEST FARMWAY 6,1.3945626965076348,103.8698789798039,3.0,2.0,,1.0,1.0,2.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,ST. GEORGE'S RD,1.32340263694071,103.86163080083,1.0,1.0,5.0,6.0,4.0,4.0,12.0,3.0,6.0,10.0,11.0,9.0,4.0,6.0,10.0,7.0,4.0,4.0,1.0,3.0,10.0,2.0,4.0,1.0,1.0,,4.0,,11.0,2.0,3.0,,4.0,1.0,
1,TECK WHYE AVE,1.38253882861959,103.751710905678,5.0,4.0,4.0,2.0,6.0,5.0,7.0,6.0,10.0,11.0,5.0,6.0,10.0,2.0,6.0,3.0,3.0,5.0,9.0,5.0,7.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,,1.0,3.0,4.0,1.0,
1,TELOK BLANGAH CRES,1.27945660077332,103.817897561986,3.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,7.0,10.0,3.0,4.0,6.0,6.0,4.0,4.0,2.0,7.0,4.0,8.0,1.0,2.0,3.0,1.0,,5.0,4.0,4.0,4.0,2.0,4.0,2.0,7.0,4.0,
1,TG PAGAR PLAZA,1.27559619328056,103.842393164815,2.0,,5.0,2.0,3.0,8.0,4.0,6.0,9.0,5.0,5.0,5.0,7.0,6.0,2.0,3.0,2.0,6.0,5.0,7.0,7.0,5.0,3.0,1.0,3.0,1.0,5.0,2.0,3.0,5.0,2.0,5.0,3.0,9.0,
1,TIONG BAHRU RD,1.286163732372423,103.8330185033687,1.0,2.0,1.0,3.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOH YI DR,1.3395717531419,103.774678246393,,,,5.0,3.0,3.0,12.0,3.0,6.0,5.0,3.0,4.0,7.0,3.0,1.0,,2.0,,3.0,4.0,10.0,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,
1,UPP ALJUNIED LANE,1.3341928406745365,103.8785352809471,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CHAI CHEE RD,1.32727572366025,103.924803599281,,,,,,,,,,,,,,,5.0,13.0,6.0,6.0,4.0,6.0,6.0,4.0,1.0,2.0,2.0,4.0,3.0,7.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0
10,GHIM MOH RD,1.3103148298460177,103.78959877361316,2.0,3.0,7.0,11.0,15.0,10.0,16.0,3.0,14.0,20.0,16.0,13.0,12.0,6.0,11.0,11.0,9.0,,,,,,,,,,,,,,,,,,
10,HAIG RD,1.31483950176271,103.895865169739,5.0,2.0,2.0,2.0,3.0,7.0,2.0,5.0,9.0,5.0,6.0,3.0,8.0,3.0,3.0,1.0,3.0,6.0,3.0,1.0,4.0,2.0,,3.0,,5.0,,3.0,2.0,3.0,2.0,3.0,3.0,2.0,
